Start Date-Time,Type,Organization Event: Event Name,Confirmed Registrants,Confirmed Including Guests,Cancelled,Attended
03/28/2019 11:30,Undergraduate,Biology and Chemistry Labs Tour,3,6,2,1
03/29/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,13,39,5,13
01/02/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,2,7,0,1
01/03/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,4,13,0,4
01/03/2020 13:00,Undergraduate,Gorham Campus Tour,3,9,1,3
01/06/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,2,5,0,2
01/07/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,3,8,0,3
01/08/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,2,0
01/09/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,0,0
01/10/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,3,10,1,3
01/10/2020 13:00,Undergraduate,Gorham Campus Tour,3,8,0,3
01/13/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,1,4,1,1
01/14/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,3,7,0,3
01/15/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,3,7,1,3
01/16/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,1,2,1,0
01/17/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,4,16,1,3
01/17/2020 13:00,Undergraduate,Gorham Campus Tour,7,21,0,5
01/21/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,2,5,0,2
01/22/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,1,2,0,1
01/23/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,0,0
01/24/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,2,7,2,2
01/24/2020 13:00,Undergraduate,Gorham Campus Tour,1,2,1,1
01/27/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,2,6,0,2
01/28/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,4,8,2,4
01/29/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,1,3,0,1
01/30/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,1,3,1,0
01/31/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,20,68,3,8
01/31/2020 13:30,Undergraduate,Portland Campus Tour,23,71,4,15
02/03/2020 9:00,Undergraduate,Nursing Simulation Lab Tour,6,16,6,5
02/03/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,1,3,0,1
02/04/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,1,2,0,0
02/05/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,3,3,0,2
02/06/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,2,6,0,2
02/06/2020 12:00,Undergraduate,Lewiston Campus Tour,1,3,0,0
02/07/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,5,15,0,0
02/07/2020 13:00,Undergraduate,Gorham Campus Tour,5,18,0,0
02/10/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,2,4,0,1
02/11/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,4,11,0,2
02/12/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,1,4,1,1
02/13/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,1,3,0,0
02/14/2020 9:30,Undergraduate,Gorham Campus Tour and Information Session,12,40,6,7
02/14/2020 13:30,Undergraduate,Portland Campus Tour,14,44,8,8
02/15/2020 10:00,Undergraduate,Gorham Campus Tour and Information Session,12,48,4,11
02/18/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,22,75,6,18
02/18/2020 13:00,Undergraduate,Gorham Campus Tour,15,48,1,11
02/19/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,9,31,0,8
02/19/2020 13:00,Undergraduate,Gorham Campus Tour,8,22,0,8
02/20/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,14,42,2,10
02/20/2020 13:00,Undergraduate,Gorham Campus Tour,7,21,3,6
02/21/2020 9:30,Undergraduate,Portland Campus Tour and Information Session,24,75,1,20
02/21/2020 13:00,Undergraduate,Gorham Campus Tour,22,67,5,14
02/22/2020 10:00,Undergraduate,Gorham Campus Tour and Information Session,16,61,3,12
