"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"FY19Q3","FA19_IC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","33,346","0.55%","54","100%",NA,"$ 292.01","11-2018","01-2019"
"FY19Q3","FA19_UNI_WA_YT_VID_BR","WA_YT_VID","YT_VID","8","0%","4","100%",NA,"$ 0.12","08-2018","06-2019"
"FY19Q3","SP19_GR_WA_FB_DISP_AG","WA_FB_DISP","FB_DISP","237,588","0.36%","426","89.49%", 00:01:20.0,"$ 792.84","09-2018","03-2019"
"FY19Q3","SP19_ST_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","208,402","0.22%","315","94.1%", 00:00:30.0,"$ 634.58","11-2018","07-2019"
"FY19Q4","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","30,511","0.97%","68","93.65%", 00:02:50.0,"$ 231.37","08-2018","08-2019"
"FY19Q4","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID","83,086","1.22%","185","93.82%", 00:00:40.0,"$ 683.74","09-2018","07-2019"
"FY19Q4","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","16,741","0.62%","52","96.15%", 00:11:25.0,"$ 147.02","08-2018","07-2019"
"FY19Q4","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID","8,373","1.35%","40","97.5%", 00:00:05.0,"$ 145.28","09-2018","07-2019"
"FY19Q4","FA19_DC_WA_VMEA_DISP_IG","WA_VMEA_DISP","VMEA_DISP","391,253","0.38%","815","95.02%", 00:04:45.0,"$ 0","05-2019","01-2020"
"FY19Q4","FA19_GR_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","73,228","0.72%","348","87.31%", 00:02:55.0,"$ 461.52","08-2018","12-2019"
"FY19Q4","FA19_GR_WA_FB_VID_IG","WA_FB_VID","FB_VID","46,403","1.51%","402","89.06%", 00:01:35.0,"$ 563.83","09-2018","09-2019"
"FY19Q4","FA19_GR_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","56,483","0.52%","141","97.16%", 00:06:00.0,"$ 520.81","08-2018","04-2019"
"FY19Q4","FA19_GR_WA_IG_VID_IG","WA_IG_VID","IG_VID","21,479","0.94%","71","91.55%", 00:00:30.0,"$ 337.33","09-2018","04-2019"
"FY19Q4","FA19_UNI_WA_YT_VID_BR","WA_YT_VID","YT_VID","15","0%","3","100%",NA,"$ 0.68","08-2018","06-2019"
