Quarter,AdSet,Ad,Vendor,Impressions,CTR,UPV,BR,Av_TOP,Cost,Start_Date,End_Date
FY19Q3,FA19_UNI_ALL_DBM_VID_BR,ALL_DBM_VID,DBM_VID,"179,028",0.66%,529,75%, 00:01:35.0,"$3,726.52 ",18-Aug,19-Jul
FY19Q3,FA19_UNI_ALL_PPH_DISP_BR,ALL_PPH_DISP,PPH_DISP,"187,683",0.22%,270,94%, 00:01:50.0,"$1,877.14 ",18-Aug,19-Jul
FY19Q3,FA19_UNI_ALL_SJ_DISP_BR,ALL_SJ_DISP,SJ_DISP,"247,868",0.21%,299,89.47%, 00:04:20.0,"$2,106.99 ",18-Aug,19-Oct
FY19Q3,FA19_UNI_ALL_SPO_AUD_BR,ALL_SPO_AUD,SPO_AUD,4,25%,1,100%,NA,$0 ,18-Aug,19-Jan
FY19Q3,FA19_UNI_ALL_YT_VID_BR,ALL_YT_VID,YT_VID,"148,982",0.08%,95,91.40%, 00:02:35.0,"$2,229.33 ",18-Aug,19-Jul
FY19Q3,FA19_UNI_CU_YT_VID_BR,CU_YT_VID,YT_VID,40,0%,3,100%,NA,$1.92 ,18-Aug,19-Jul
FY19Q3,FA19_UNI_HS_YT_VID_BR,HS_YT_VID,YT_VID,90,0%,2,100%,NA,$1.75 ,18-Aug,19-Jul
FY19Q3,FA19_UNI_WA_YT_VID_BR,WA_YT_VID,YT_VID,8,0%,4,100%,NA,$0.12 ,18-Aug,19-Jun
FY19Q3,FA20_UNI_ALL_BDN_VID_BR,ALL_BDN_VID,BDN_VID,"4,121",7.72%,202,94.95%, 00:01:40.0,$164.84 ,19-Mar,19-Jun
FY19Q3,FA20_UNI_ALL_DBM_VID_BR,ALL_DBM_VID,DBM_VID,"25,976",0.49%,68,86.15%, 00:04:10.0,$656.91 ,19-Mar,19-Jul
FY19Q3,FA20_UNI_ALL_YT_VID_BR,ALL_YT_VID,YT_VID,367,0%,5,75%, 00:00:20.0,$7.42 ,19-Mar,19-Jul
FY19Q4,FA19_UNI_ALL_BDN_DISP_BR,ALL_BDN_DISP,BDN_DISP,"74,014",0.19%,107,95.15%, 00:01:55.0,$740.14 ,18-Aug,19-Oct
FY19Q4,FA19_UNI_ALL_DBM_DISP_BR,ALL_DBM_DISP,DBM_DISP,"1,536,023",0.06%,"1,032",86.32%, 00:02:35.0,"$10,102.66 ",18-Aug,20-Mar
FY19Q4,FA19_UNI_ALL_PPH_DISP_BR,ALL_PPH_DISP,PPH_DISP,"62,502",0.27%,105,92.16%, 00:03:50.0,$625.02 ,18-Aug,19-Jul
FY19Q4,FA19_UNI_ALL_SJ_DISP_BR,ALL_SJ_DISP,SJ_DISP,"91,418",0.23%,139,92.37%, 00:02:05.0,$777.07 ,18-Aug,19-Oct
FY19Q4,FA19_UNI_ALL_YT_VID_BR,ALL_YT_VID,YT_VID,"117,571",0.11%,104,89.80%, 00:02:15.0,"$2,053.20 ",18-Aug,19-Jul
FY19Q4,FA19_UNI_CU_YT_VID_BR,CU_YT_VID,YT_VID,83,0%,4,100%,NA,$1.51 ,18-Aug,19-Jul
FY19Q4,FA19_UNI_HS_YT_VID_BR,HS_YT_VID,YT_VID,147,0%,3,100%,NA,$3.06 ,18-Aug,19-Jul
FY19Q4,FA19_UNI_WA_YT_VID_BR,WA_YT_VID,YT_VID,15,0%,3,100%,NA,$0.68 ,18-Aug,19-Jun
FY19Q4,FA20_UNI_ALL_BDN_VID_BR,ALL_BDN_VID,BDN_VID,"23,804",7.04%,989,92.23%, 00:01:10.0,$952.16 ,19-Mar,19-Jun
FY19Q4,FA20_UNI_ALL_DBM_VID_BR,ALL_DBM_VID,DBM_VID,"53,656",0.62%,196,78.62%, 00:01:30.0,"$1,505.80 ",19-Mar,19-Jul
FY19Q4,FA20_UNI_ALL_YT_VID_BR,ALL_YT_VID,YT_VID,"3,526",0.14%,12,100%,NA,$79.52 ,19-Mar,19-Jul
