"Quarter","AdSet","Ad","Vendor","Start_Date","End_Date","Cost","Clicks","Impressions","Bounces","Sessions","UPV","Views","Completions","Step1","ClickRatePct","BounceRatePct","ViewRate","VTR","ClickableCompletions","ClickableCompRate","Swipes","SwipeUpRatePct","Opens","CTOR","Sends","LIOpens","OpenRate","Engagements","Results","EngagementRate","EngRate","Avg_RR","Av_TOP"
"FY20Q2","FA20_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP",2019-08-08,2020-04-06,9136.12,748,959943,854,1481,1507,0,0,35.2563636363636,0.08,57.66,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:35
"FY20Q2","FA20_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP",2019-08-13,2019-12-31,274.68,430,124800,121,142,210,0,0,172.65306122449,0.34,85.21,0,0,0,Inf,0,0,285,66.28,0,285,Inf,287,0,0.23,Inf,0,00:02:55
"FY20Q2","FA20_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID",2019-11-01,2020-02-28,1174.71,1288,138338,507,526,532,85770,3967,21.7083333333333,0.93,96.39,62,2.87,0,Inf,0,0,995,77.25,0,995,Inf,13106,0,9.47,Inf,0,00:00:20
"FY20Q2","FA20_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP",2019-08-13,2020-04-06,94.37,46,7729,30,33,33,0,0,235.666666666667,0.6,90.91,0,0,0,Inf,0,0,37,80.43,0,37,Inf,39,0,0.5,Inf,0,00:03:55
"FY20Q2","FA20_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST",2019-11-01,2020-04-06,47.24,22,6429,29,29,29,5650,127,0,0.34,100,87.88,1.98,0,Inf,0,0,14,63.64,0,14,Inf,335,0,5.21,Inf,0,00:00:00
"FY20Q2","FA20_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID",2019-11-01,2020-04-06,158.98,81,20251,70,71,73,17847,440,26.5,0.4,98.59,88.13,2.17,0,Inf,0,0,68,83.95,0,68,Inf,1140,0,5.63,Inf,0,00:00:25
"FY20Q2","FA20_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID",2019-10-29,2020-04-07,1919.99,5071,505353,2829,3184,3187,20932,3276,616.887973640857,1,88.85,4.14,0.65,0,Inf,5071,1,0,0,0,0,NA,0,0,0,NA,0,00:10:15
"FY20Q2","FA20_TR_CU_TW_DISP_IG","CU_TW_DISP","TW_DISP",2019-10-01,2020-04-05,2416.91,0,70799,373,460,472,0,0,91.4444444444444,0,81.09,0,0,0,NA,0,0,0,NA,0,0,NA,1541,1373,2.18,Inf,1.94,00:01:30
"FY20Q2","FA20_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID",2019-10-31,2020-03-08,1566.98,66,82276,29,34,34,72952,66666.448,132.333333333333,0.08,85.29,88.67,81.03,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:02:10
"FY20Q3","FA20_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP",2019-08-08,2020-04-06,1986.54,279,262059,441,607,625,0,0,22.0547945205479,0.11,72.65,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:20
"FY20Q3","FA20_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP",2019-08-13,2020-04-06,142.59,60,20453,58,61,61,0,0,471.666666666667,0.29,95.08,0,0,0,Inf,0,0,59,98.33,0,59,Inf,60,0,0.29,Inf,0,00:07:50
"FY20Q3","FA20_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST",2019-11-01,2020-04-06,37.39,19,9349,19,20,20,8445,141,1614,0.2,95,90.33,1.51,0,Inf,0,0,13,68.42,0,13,Inf,386,0,4.13,Inf,0,00:26:55
"FY20Q3","FA20_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID",2019-11-01,2020-04-06,154.17,76,38851,69,75,79,35346,531,84.5555555555556,0.2,92,90.98,1.37,0,Inf,0,0,67,88.16,0,67,Inf,1610,0,4.14,Inf,0,00:01:25
"FY20Q3","FA20_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID",2019-10-29,2020-04-07,842.18,3004,258715,4820,4906,4912,9374,1219.67,789.606060606061,1.16,98.25,3.62,0.47,0,Inf,2792,1.08,0,0,0,0,NA,0,0,0,NA,0,00:13:10
"FY20Q3","FA20_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID",2019-10-31,2020-03-08,844.1,40,47461,28,32,32,40871,36406.3853,42.4,0.08,87.5,86.11,76.71,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:40
"FY20Q3","FA21_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP",2020-02-26,2020-04-06,3447.04,452,415972,583,833,839,0,0,11.558583106267,0.11,69.99,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:10
"FY20Q3","FA21_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID",2020-02-26,2020-04-06,1055.11,1106,270842,482,501,514,190931,8078,107.592592592593,0.41,96.21,70.5,2.98,0,Inf,0,0,801,72.42,0,801,Inf,26033,0,9.61,Inf,0,00:01:50
"FY20Q3","FA21_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST",2020-02-26,2020-04-06,22.32,9,5573,14,16,16,5039,92,464.5,0.16,87.5,90.42,1.65,0,Inf,0,0,9,100,0,9,Inf,225,0,4.04,Inf,0,00:07:45
"FY20Q3","FA21_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID",2020-02-26,2020-04-06,141.75,63,30259,57,62,64,27635,509,265,0.21,91.94,91.33,1.68,0,Inf,0,0,62,98.41,0,62,Inf,1186,0,3.92,Inf,0,00:04:25
"FY20Q3","FA21_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID",2020-02-26,2020-04-07,509.65,1556,141063,3667,3728,3730,4615,492.33,747.564516129032,1.1,98.36,3.27,0.35,0,Inf,1352,0.96,0,0,0,0,NA,0,0,0,NA,0,00:12:30
"FY20Q3","FA21_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID",2020-03-04,2020-04-06,754.72,48,42374,27,29,29,21427,11101.328,18.5,0.11,93.1,50.57,26.2,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:20
"FY20Q4","FA20_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP",2019-08-13,2020-04-06,40.65,19,6910,14,18,18,0,0,321.75,0.27,77.78,0,0,0,Inf,0,0,18,94.74,0,18,Inf,18,0,0.26,Inf,0,00:05:20
"FY20Q4","FA20_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST",2019-11-01,2020-04-06,10.78,8,4116,4,4,4,3702,50,0,0.19,100,89.94,1.21,0,Inf,0,0,5,62.5,0,5,Inf,165,0,4.01,Inf,0,00:00:00
"FY20Q4","FA20_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID",2019-11-01,2020-04-06,20.5,10,5873,5,5,5,5250,80,0,0.17,100,89.39,1.36,0,Inf,0,0,8,80,0,8,Inf,277,0,4.72,Inf,0,00:00:00
"FY20Q4","FA20_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID",2019-10-29,2020-04-07,111.61,988,69056,170,173,173,2868,416,185,1.43,98.27,4.15,0.6,0,Inf,988,1.43,0,0,0,0,NA,0,0,0,NA,0,00:03:05
"FY20Q4","FA21_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP",2020-02-26,2020-04-06,625.68,69,67332,65,95,96,0,0,5.04761904761905,0.1,68.42,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:05
"FY20Q4","FA21_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID",2020-02-26,2020-04-06,265.36,304,86316,122,125,125,63584,2445,7,0.35,97.6,73.66,2.83,0,Inf,0,0,217,71.38,0,217,Inf,7988,0,9.25,Inf,0,00:00:05
"FY20Q4","FA21_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST",2020-02-26,2020-04-06,19.7,12,6127,12,13,13,5474,85,407,0.2,92.31,89.34,1.39,0,Inf,0,0,11,91.67,0,11,Inf,254,0,4.15,Inf,0,00:06:45
"FY20Q4","FA21_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID",2020-02-26,2020-04-06,80.84,35,20024,34,35,35,18034,328,95,0.17,97.14,90.06,1.64,0,Inf,0,0,34,97.14,0,34,Inf,766,0,3.83,Inf,0,00:01:35
"FY20Q4","FA21_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID",2020-02-26,2020-04-07,28.4,257,17261,122,122,122,634,80,0,1.49,100,3.67,0.46,0,Inf,257,1.49,0,0,0,0,NA,0,0,0,NA,0,00:00:00
"FY20Q4","FA21_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID",2020-03-04,2020-04-06,175.84,9,13399,2,2,2,6944,3656.2658,0,0.07,100,51.82,27.29,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:00
