"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
NA,"FA19_POL_ALL_LI_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2018","09-2018"
NA,"FA19_ST_WA_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2018","03-2020"
NA,"FA19_TR_CU_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","08-2019"
NA,"FA19_TR_CU_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","07-2019"
NA,"FA19_TR_CU_GM_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2018","08-2019"
NA,"FA19_TR_CU_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","07-2019"
NA,"FA19_TR_CU_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","07-2019"
NA,"FA19_TR_CU_SC_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2018","05-2020"
NA,"FA19_UG_HS_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","05-2019"
NA,"FA19_UG_HS_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","01-2019"
NA,"FA19_UG_HS_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","02-2019"
NA,"FA19_UG_HS_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","06-2019"
NA,"FA19_UG_HS_PIN_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","01-2019"
NA,"FA19_UG_HS_SC_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","05-2020"
NA,"FA19_UG_IN_PIN_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","01-2020"
NA,"FA19_UG_TL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","Ongoing"
NA,"FA19_UG_TL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","12-2019"
NA,"FA19_UG_TL_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","11-2018"
NA,"FA19_UG_TL_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","11-2018"
NA,"FA19_UG_TL_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","11-2018"
NA,"FA19_UG_TL_SC_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","05-2020"
NA,"FA19_UNI_ALL_BDN_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","10-2019"
NA,"FA19_UNI_ALL_BDN_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","03-2019"
NA,"FA19_UNI_ALL_DBM_AUD",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","01-2019"
NA,"FA19_UNI_ALL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","06-2020"
NA,"FA19_UNI_ALL_DBM_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","07-2019"
NA,"FA19_UNI_ALL_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","09-2018"
NA,"FA19_UNI_ALL_HU_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","04-2019"
NA,"FA19_UNI_ALL_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","09-2018"
NA,"FA19_UNI_ALL_PPH_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","07-2019"
NA,"FA19_UNI_ALL_SJ_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","Ongoing"
NA,"FA19_UNI_ALL_SPO_AUD",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","01-2019"
NA,"FA19_UNI_ALL_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","07-2019"
NA,"FA19_UNI_CU_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","07-2019"
NA,"FA19_UNI_HS_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","07-2019"
NA,"FA19_UNI_VET_PPH_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","11-2018","11-2018"
NA,"FA19_UNI_WA_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","09-2018"
NA,"FA19_UNI_WA_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2018","06-2019"
NA,"FA20_CGCY_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","10-2019"
NA,"FA20_CGCY_ALL_GM_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","09-2019"
NA,"FA20_CGCY_ALL_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","10-2019"
NA,"FA20_CGCY_ALL_LI_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","11-2019"
NA,"FA20_CLR_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","11-2019"
NA,"FA20_CLR_TL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","11-2019"
NA,"FA20_DC_WA_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","05-2020"
NA,"FA20_DC_WA_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","Ongoing"
NA,"FA20_DC_WA_GM_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","03-2020"
NA,"FA20_DC_WA_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","Ongoing"
NA,"FA20_DC_WA_LI_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2019","06-2020"
NA,"FA20_DC_WA_PIN_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","12-2019"
NA,"FA20_DC_WA_VMEA_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2019","01-2020"
NA,"FA20_GR_ALL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","06-2020"
NA,"FA20_GR_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","02-2020"
NA,"FA20_GR_ALL_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","Ongoing"
NA,"FA20_GR_ALL_LI_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","06-2020"
NA,"FA20_MPH_ALL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2019","06-2020"
NA,"FA20_MPH_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2019","02-2020"
NA,"FA20_MPH_ALL_LI_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","12-2019","04-2020"
NA,"FA20_MPH_ALL_LI_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","01-2019","05-2019"
NA,"FA20_POL_ALL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2019","06-2020"
NA,"FA20_POL_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2019","02-2020"
NA,"FA20_POL_ALL_LI_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","12-2019","04-2020"
NA,"FA20_POL_ALL_LI_TEXT",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2019","05-2019"
NA,"FA20_TR_CU_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","Ongoing"
NA,"FA20_TR_CU_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","12-2019"
NA,"FA20_TR_CU_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","11-2019","02-2020"
NA,"FA20_TR_CU_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","06-2020"
NA,"FA20_TR_CU_IG_ST",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","11-2019","06-2020"
NA,"FA20_TR_CU_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","11-2019","06-2020"
NA,"FA20_TR_CU_SC_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2019","Ongoing"
NA,"FA20_TR_CU_TW_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2019","04-2020"
NA,"FA20_TR_CU_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2019","03-2020"
NA,"FA20_UG_HS_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","06-2020"
NA,"FA20_UG_HS_IG_ST",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","11-2019","01-2020"
NA,"FA20_UG_HS_SC_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2019","05-2020"
NA,"FA20_UG_HS_TW_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2019","01-2020"
NA,"FA20_UG_HS_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2019","01-2020"
NA,"FA20_UG_IN_PIN_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","08-2019","12-2019"
NA,"FA20_UG_TL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","06-2020"
NA,"FA20_UG_TL_FB_CAR",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","11-2019"
NA,"FA20_UG_TL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","03-2020"
NA,"FA20_UG_TL_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","11-2019"
NA,"FA20_UG_TL_IG_CAR",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","11-2019"
NA,"FA20_UG_TL_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","03-2020"
NA,"FA20_UG_TL_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","11-2019"
NA,"FA20_UNI_ALL_BDN_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","06-2019"
NA,"FA20_UNI_ALL_DBM_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","07-2019"
NA,"FA20_UNI_ALL_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2019","07-2019"
NA,"FA20_UNI_VET_PPH_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","10-2019","11-2019"
NA,"FA21_BUS_ALLR_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2020","Ongoing"
NA,"FA21_BUS_HS_SC_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2020","Ongoing"
NA,"FA21_CGCY_ALL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","04-2020","Ongoing"
