"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"NAQNA","FA19_UG_TL_SC_VID_IG","TL_SC_VID","SC_VID","725,817","1.27%","NA","NA%",NA,"$ 1197.27",NA,NA
"NAQNA","FA19_UNI_ALL_BDN_DISP_BR","ALL_BDN_DISP","BDN_DISP","649,895","0.11%","NA","NA%",NA,"$ 6040.52",NA,NA
"NAQNA","FA19_UNI_ALL_BDN_VID_BR","ALL_BDN_VID","BDN_VID","66,955","5.51%","NA","NA%",NA,"$ 2473.86",NA,NA
"NAQNA","FA19_UNI_ALL_DBM_AUD_BR","ALL_DBM_AUD","DBM_AUD","1,035,381","0%","NA","NA%",NA,"$ 24655.21",NA,NA
"NAQNA","FA19_UNI_ALL_DBM_DISP_BR","ALL_DBM_DISP","DBM_DISP","6,431,873","0.06%","NA","NA%",NA,"$ 34000.02",NA,NA
"NAQNA","FA19_UNI_ALL_DBM_VID_BR","ALL_DBM_VID","DBM_VID","434,048","0.41%","NA","NA%",NA,"$ 7837.31",NA,NA
"NAQNA","FA19_UNI_ALL_HU_VID_BR","ALL_HU_VID","HU_VID","1,502,441","0.06%","NA","NA%",NA,"$ 52375.32",NA,NA
"NAQNA","FA19_UNI_ALL_PPH_DISP_BR","ALL_PPH_DISP","PPH_DISP","500,198","0.19%","NA","NA%",NA,"$ 5002.29",NA,NA
"NAQNA","FA19_UNI_ALL_SJ_DISP_BR","ALL_SJ_DISP","SJ_DISP","680,878","0.22%","NA","NA%",NA,"$ 5736.41",NA,NA
"NAQNA","FA19_UNI_ALL_SPO_AUD_BR","ALL_SPO_AUD","SPO_AUD","697,678","0.1%","NA","NA%",NA,"$ 0",NA,NA
"NAQNA","FA19_UNI_ALL_YT_VID_BR","ALL_YT_VID","YT_VID","410,845","0.1%","NA","NA%",NA,"$ 7484.1",NA,NA
"NAQNA","FA19_UNI_CU_YT_VID_BR","CU_YT_VID","YT_VID","229","0%","NA","NA%",NA,"$ 6.9",NA,NA
"NAQNA","FA19_UNI_HS_YT_VID_BR","HS_YT_VID","YT_VID","508","0%","NA","NA%",NA,"$ 10.09",NA,NA
"NAQNA","FA19_UNI_WA_YT_VID_BR","WA_YT_VID","YT_VID","30","0%","NA","NA%",NA,"$ 0.91",NA,NA
"NAQNA","FA20_CGCY_ALL_FB_DISP_IG","ALL_FB_DISP","FB_DISP","430,185","0.25%","NA","NA%",NA,"$ 940.48",NA,NA
"NAQNA","FA20_CGCY_ALL_GM_TEXT_IG","ALL_GM_TEXT","GM_TEXT","32,941","32.34%","NA","NA%",NA,"$ 2288.58",NA,NA
"NAQNA","FA20_CGCY_ALL_IG_DISP_IG","ALL_IG_DISP","IG_DISP","162,247","0.73%","NA","NA%",NA,"$ 2059.5",NA,NA
"NAQNA","FA20_CGCY_ALL_LI_DISP_IG","ALL_LI_DISP","LI_DISP","23,774","0.55%","NA","NA%",NA,"$ 754.16",NA,NA
"NAQNA","FA20_CLR_ALL_FB_DISP_IG","ALL_FB_DISP","FB_DISP","297,684","0.39%","NA","NA%",NA,"$ 1721.8",NA,NA
"NAQNA","FA20_CLR_TL_FB_DISP_IG","TL_FB_DISP","FB_DISP","111,292","0.4%","NA","NA%",NA,"$ 751.5",NA,NA
"NAQNA","FA20_DC_WA_DBM_DISP_IG","WA_DBM_DISP","DBM_DISP","1,792,602","0.1%","NA","NA%",NA,"$ 18058.14",NA,NA
"NAQNA","FA20_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","3,760,594","0.27%","NA","NA%",NA,"$ 6664.17",NA,NA
"NAQNA","FA20_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT","54,317","14.89%","NA","NA%",NA,"$ 3927.53",NA,NA
"NAQNA","FA20_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","10,079","0.68%","NA","NA%",NA,"$ 108.57",NA,NA
"NAQNA","FA20_DC_WA_LI_TEXT_IG","WA_LI_TEXT","LI_TEXT","9,234","47.08%","NA","NA%",NA,"$ 1870.99",NA,NA
"NAQNA","FA20_DC_WA_PIN_DISP_BR","WA_PIN_DISP","PIN_DISP","522,063","0.3%","NA","NA%",NA,"$ 2566.48",NA,NA
"NAQNA","FA20_GR_ALL_DBM_DISP_IG","ALL_DBM_DISP","DBM_DISP","1,926,894","0.09%","NA","NA%",NA,"$ 23152.08",NA,NA
"NAQNA","FA20_GR_ALL_FB_DISP_IG","ALL_FB_DISP","FB_DISP","1,637,142","0.26%","NA","NA%",NA,"$ 3838.2",NA,NA
"NAQNA","FA20_GR_ALL_IG_DISP_IG","ALL_IG_DISP","IG_DISP","136,250","0.61%","NA","NA%",NA,"$ 1707.66",NA,NA
"NAQNA","FA20_GR_ALL_LI_TEXT_IG","ALL_LI_TEXT","LI_TEXT","6,073","59.28%","NA","NA%",NA,"$ 910.95",NA,NA
"NAQNA","FA20_MPH_ALL_DBM_DISP_IG","ALL_DBM_DISP","DBM_DISP","180,009","0.19%","NA","NA%",NA,"$ 1563.76",NA,NA
"NAQNA","FA20_MPH_ALL_FB_DISP_IG","ALL_FB_DISP","FB_DISP","542,138","0.27%","NA","NA%",NA,"$ 1271.09",NA,NA
"NAQNA","FA20_MPH_ALL_LI_DISP_IG","ALL_LI_DISP","LI_DISP","29,605","0.62%","NA","NA%",NA,"$ 878.09",NA,NA
"NAQNA","FA20_MPH_ALL_LI_TEXT_IG","ALL_LI_TEXT","LI_TEXT","19,418","0.47%","NA","NA%",NA,"$ 544.31",NA,NA
"NAQNA","FA20_POL_ALL_DBM_DISP_IG","ALL_DBM_DISP","DBM_DISP","153,689","0.18%","NA","NA%",NA,"$ 1421.03",NA,NA
